,custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city
22,JPBBEP,1,2010-08-12,2012-08-22 00:00:00,2013-05-01 00:00:00,47,19.14893617,10.63829787,115.25,0.138888889,1,0,0,Wednesday,DEL
23,3ML22U,0,2011-03-10,2011-04-24 00:00:00,2012-11-14 00:00:00,0,0.0,0.0,76.67,0.007017544,0,0,0,Tuesday,DEL
24,N297FU,0,2010-04-24,2010-12-20 00:00:00,2011-11-17 00:00:00,0,0.0,0.0,35.86,0.006024096,0,0,0,Tuesday,DEL
25,JD96M8,1,2011-01-26,2011-06-13 00:00:00,2011-08-02 00:00:00,18,0.0,0.0,85.61,0.08,0,0,0,Tuesday,DEL
26,PLM5WZ,0,2009-11-17,2009-11-24 00:00:00,2013-10-08 00:00:00,0,0.0,0.0,75.54,0.007072136,0,0,0,Monday,DEL
27,F3MF5Y,1,2010-07-24,2010-07-29 00:00:00,2011-11-28 00:00:00,31,100.0,9.677419355,59.67,0.016427105,0,0,0,Thursday,DEL
28,2GHDRJ,1,2009-07-24,2010-05-23 00:00:00,2013-03-07 00:00:00,46,6.52173913,4.347826087,59.11,0.015701668,1,0,0,Friday,BOM
29,KZHTJ7,1,2011-01-26,2011-02-28 00:00:00,2013-12-17 00:00:00,49,36.73469388,20.40816327,33.87,0.026392962,0,0,0,Monday,BOM
30,WXBP2F,1,2010-08-28,2011-05-17 00:00:00,2011-06-14 00:00:00,16,0.0,0.0,64.82,0.071428571,0,0,0,Tuesday,DEL
31,RJYYJ9,1,2011-01-29,2012-08-19 00:00:00,2012-08-19 00:00:00,45,11.11111111,0.0,60.94,0.0,0,0,0,Tuesday,BOM
32,MZ8L3N,1,2011-02-09,2011-03-20 00:00:00,2011-11-03 00:00:00,40,2.5,2.5,94.28,0.021929825,0,0,0,Thursday,BOM
33,UCVGQ9,1,2011-03-07,2011-03-14 00:00:00,2013-09-11 00:00:00,48,12.5,2.083333333,103.39,0.013157895,0,0,0,Monday,BOM
34,4W84UJ,0,2009-04-24,2009-04-24 00:00:00,2009-04-24 00:00:00,0,0.0,0.0,15.64,0.0,0,0,0,Tuesday,DEL
35,LMVN3V,1,2010-05-18,2010-06-02 00:00:00,2012-03-08 00:00:00,45,17.77777778,2.222222222,117.97,0.03255814,0,0,0,Thursday,DEL
36,CZTUVU,1,2010-09-13,2011-11-07 00:00:00,2012-09-28 00:00:00,47,2.127659574,0.0,37.24,0.036809816,0,0,0,Wednesday,DEL
37,3TJT3R,1,2011-04-22,2011-04-28 00:00:00,2012-01-22 00:00:00,16,0.0,0.0,165.95,0.007434944,0,0,0,Friday,BOM
38,Q7RV8W,1,2010-08-20,2010-08-30 00:00:00,2010-08-30 00:00:00,45,0.0,0.0,74.74,0.0,0,0,0,Friday,BOM
39,D5SNFS,0,2011-01-04,2011-04-13 00:00:00,2013-10-06 00:00:00,0,0.0,0.0,178.44,0.045203969,0,0,0,Wednesday,DEL
40,ANEWZC,0,2011-03-08,2011-03-08 00:00:00,2011-03-08 00:00:00,0,0.0,0.0,43.54,0.0,0,0,0,Tuesday,BOM
41,ZKL5JF,0,2011-01-20,2011-04-07 00:00:00,2012-04-12 00:00:00,0,0.0,0.0,103.64,0.016172507,0,0,0,Thursday,BOM
42,EEKG4H,0,2009-11-10,2009-11-10 00:00:00,2009-11-10 00:00:00,0,0.0,0.0,28.63,0.0,0,0,0,Wednesday,DEL
43,AZJTMQ,0,2009-06-20,2009-07-13 00:00:00,2009-07-13 00:00:00,0,0.0,0.0,21.97,0.0,0,0,0,Thursday,DEL
44,HGBG96,0,2010-01-26,2010-02-01 00:00:00,2010-06-22 00:00:00,0,0.0,0.0,87.05,0.021276596,0,0,0,Tuesday,DEL
45,W97W6Q,1,2010-02-26,2010-04-10 00:00:00,2013-04-29 00:00:00,48,2.083333333,2.083333333,35.73,0.026008969,0,0,0,Tuesday,DEL
46,LGA8JT,1,2009-11-11,2010-04-12 00:00:00,2013-11-03 00:00:00,50,10.0,4.0,33.38,0.005380477,0,0,0,Monday,DEL
47,RZQEWF,1,2010-10-19,2010-10-19 00:00:00,2010-10-19 00:00:00,45,0.0,0.0,22.92,0.0,0,0,0,Wednesday,DEL
48,D4AEL5,0,2010-03-04,2011-03-02 00:00:00,2012-02-27 00:00:00,0,0.0,0.0,125.97,0.035911602,0,0,0,Monday,DEL
49,3PST7V,0,2011-02-10,2011-02-10 00:00:00,2011-03-24 00:00:00,0,0.0,0.0,37.01,0.047619048,0,0,0,Friday,DEL
50,T6ZAER,0,2009-07-19,2009-10-22 00:00:00,2009-11-17 00:00:00,0,0.0,0.0,61.85,0.269230769,0,0,0,Friday,DEL
51,C55RAB,0,2010-08-03,2010-08-09 00:00:00,2010-08-09 00:00:00,0,0.0,0.0,101.3,0.0,0,0,0,Wednesday,DEL
52,YRHUHV,1,2010-04-15,2010-10-04 00:00:00,2013-11-18 00:00:00,53,3.773584906,3.773584906,151.27,0.094653812,0,0,0,Tuesday,DEL
53,8SK2UB,1,2011-01-23,2011-02-07 00:00:00,2011-03-21 00:00:00,18,0.0,0.0,58.57,0.166666667,0,0,0,Monday,DEL
54,HZS3AJ,0,2010-09-07,2011-10-26 00:00:00,2011-10-26 00:00:00,0,0.0,0.0,55.9,0.0,0,0,0,Thursday,BOM
55,GXDXR6,1,2010-06-21,2010-06-28 00:00:00,2011-06-27 00:00:00,18,0.0,0.0,132.31,0.027472527,0,0,0,Monday,DEL
56,LE9M9X,1,2011-04-12,2011-04-17 00:00:00,2011-04-17 00:00:00,16,0.0,0.0,91.9,0.0,0,0,0,Monday,DEL
57,B2LW75,1,2009-05-14,2010-03-12 00:00:00,2010-03-12 00:00:00,16,0.0,0.0,39.16,0.0,0,0,0,Friday,DEL
58,BNE3YV,1,2010-07-13,2011-03-28 00:00:00,2013-10-02 00:00:00,23,95.65217391,0.0,68.82,0.032644178,0,0,0,Monday,BOM
59,LJJEMA,1,2010-10-05,2013-10-26 00:00:00,2013-10-26 00:00:00,34,14.70588235,0.0,44.05,0.0,0,1,0,Tuesday,BOM
60,EBNK8A,0,2010-08-27,2010-09-07 00:00:00,2010-09-07 00:00:00,0,0.0,0.0,184.37,0.0,0,0,0,Wednesday,DEL
61,Z4YCW4,1,2010-06-14,2011-04-28 00:00:00,2013-07-01 00:00:00,41,43.90243902,0.0,27.11,0.065408805,1,0,0,Thursday,DEL
62,FNWU29,0,2010-08-26,2010-09-23 00:00:00,2012-11-25 00:00:00,0,0.0,0.0,65.77,0.018891688,1,0,0,Wednesday,MAA
63,ARR4H6,1,2010-09-05,2010-09-06 00:00:00,2012-06-18 00:00:00,42,26.19047619,2.380952381,44.97,0.006144393,0,0,0,Tuesday,BOM
64,RACF5D,0,2010-09-20,2010-10-14 00:00:00,2010-10-14 00:00:00,0,0.0,0.0,69.69,0.0,0,0,0,Thursday,DEL
65,64QBT7,0,2011-03-15,2011-03-28 00:00:00,2011-04-11 00:00:00,33,75.75757576,0.0,49.76,0.214285714,0,0,0,Tuesday,DEL
66,GK3EST,1,2010-06-16,2010-06-21 00:00:00,2010-06-21 00:00:00,16,0.0,0.0,81.95,0.0,0,0,0,Wednesday,DEL
67,W3TM2U,0,2010-11-03,2010-11-03 00:00:00,2012-02-06 00:00:00,0,0.0,0.0,134.18,0.015217391,1,0,0,Tuesday,BOM
68,MLX3EU,1,2008-10-02,2008-10-02 00:00:00,2008-10-02 00:00:00,14,0.0,0.0,63.18,0.0,0,0,0,Thursday,DEL
69,BXWS2B,1,2009-11-29,2011-07-22 00:00:00,2014-01-08 00:00:00,45,77.77777778,20.0,42.62,0.064372919,1,0,0,Monday,DEL
70,C8UJQ3,1,2010-02-09,2010-03-30 00:00:00,2010-03-30 00:00:00,16,0.0,0.0,23.79,0.0,0,0,0,Wednesday,DEL
71,PFCF8Q,1,2010-07-12,2012-11-20 00:00:00,2012-11-20 00:00:00,46,93.47826087,15.2173913,165.07,0.0,0,0,0,Tuesday,DEL
72,NJR788,0,2010-08-18,2010-08-23 00:00:00,2010-08-23 00:00:00,0,0.0,0.0,29.68,0.0,0,0,0,Tuesday,DEL
73,J8SLPE,1,2009-08-07,2009-09-11 00:00:00,2013-10-10 00:00:00,45,4.444444444,2.222222222,39.41,0.006711409,0,0,0,Friday,DEL
74,GYH5AF,1,2011-01-18,2012-06-28 00:00:00,2012-06-28 00:00:00,47,2.127659574,0.0,73.07,0.0,0,0,0,Friday,DEL
75,4QRWVB,1,2010-08-17,2011-04-26 00:00:00,2011-10-23 00:00:00,18,0.0,0.0,50.87,0.072222222,0,0,0,Wednesday,DEL
76,VMYYX9,0,2010-01-23,2010-03-01 00:00:00,2010-10-11 00:00:00,0,0.0,0.0,35.09,0.09375,0,0,0,Monday,DEL
77,CF5K35,1,2011-02-03,2011-02-03 00:00:00,2011-03-27 00:00:00,42,38.0952381,0.0,85.37,0.076923077,0,0,0,Monday,DEL
78,XQK2CK,0,2010-12-08,2010-12-08 00:00:00,2010-12-08 00:00:00,0,0.0,0.0,60.3,0.0,0,0,0,Thursday,DEL
79,FM7VFL,1,2009-10-05,2009-10-16 00:00:00,2011-10-18 00:00:00,44,25.0,11.36363636,117.32,0.032786885,1,0,0,Friday,DEL
80,7PEMUD,1,2009-11-30,2009-11-30 00:00:00,2012-11-13 00:00:00,47,0.0,0.0,105.45,0.003707136,0,0,0,Tuesday,DEL
81,A3XBE,1,2011-04-11,2011-04-11 00:00:00,2012-07-29 00:00:00,45,6.666666667,2.222222222,165.23,0.010526316,1,0,0,Monday,BOM
82,EQSD5E,1,2008-10-07,2009-12-21 00:00:00,2009-12-21 00:00:00,45,6.666666667,0.0,52.4,0.0,0,0,0,Tuesday,DEL
83,CT3NDS,1,2011-03-23,2011-03-23 00:00:00,2014-01-03 00:00:00,39,87.17948718,12.82051282,30.48,0.015732547,0,0,0,Tuesday,BOM
84,C6HVXN,1,2010-04-16,2012-04-20 00:00:00,2012-04-20 00:00:00,16,0.0,0.0,33.57,0.0,0,0,0,Thursday,DEL
85,ARP342,0,2010-05-01,2011-05-09 00:00:00,2011-05-09 00:00:00,0,0.0,0.0,83.04,0.0,0,0,0,Monday,DEL
86,7PALQK,0,2010-04-15,2011-04-14 00:00:00,2011-07-28 00:00:00,0,0.0,0.0,54.82,0.076190476,0,0,0,Thursday,DEL
87,S5DZ4Y,1,2010-07-12,2010-07-26 00:00:00,2011-11-14 00:00:00,47,2.127659574,0.0,20.54,0.008403361,0,0,0,Monday,DEL
88,Z7QFN7,1,2009-04-30,2009-05-07 00:00:00,2009-05-07 00:00:00,16,0.0,0.0,53.36,0.0,0,0,0,Friday,DEL
89,TGYGPC,1,2011-01-09,2011-02-01 00:00:00,2012-07-19 00:00:00,42,16.66666667,2.380952381,27.74,0.005617978,0,0,0,Friday,BOM
90,DVRYSK,0,2011-04-06,2011-04-06 00:00:00,2011-04-06 00:00:00,0,0.0,0.0,25.0,0.0,0,0,0,Thursday,DEL
91,HTJNCB,1,2010-10-11,2010-10-11 00:00:00,2011-01-12 00:00:00,39,35.8974359,0.0,130.51,0.021505376,0,0,0,Tuesday,DEL
92,3VCXN,0,2011-04-10,2011-05-01 00:00:00,2012-05-13 00:00:00,0,0.0,0.0,141.97,0.015873016,0,0,0,Monday,DEL
93,SGU3PB,0,2010-03-31,2010-09-12 00:00:00,2011-10-12 00:00:00,0,0.0,0.0,47.5,0.010126582,1,0,0,Thursday,DEL
94,PXXTWN,0,2010-05-03,2010-07-05 00:00:00,2010-11-11 00:00:00,0,0.0,0.0,111.86,0.054263566,0,0,0,Tuesday,DEL
95,U9ZQQP,1,2010-12-01,2011-06-12 00:00:00,2013-07-22 00:00:00,46,19.56521739,10.86956522,29.73,0.006485084,1,0,0,Tuesday,MAA
96,M87HQT,0,2010-09-03,2010-09-24 00:00:00,2011-03-17 00:00:00,0,0.0,0.0,109.16,0.022988506,0,0,0,Monday,DEL
97,564EL5,0,2010-06-19,2010-06-30 00:00:00,2010-06-30 00:00:00,0,0.0,0.0,27.6,0.0,0,0,0,Thursday,DEL
98,S7B2TP,1,2010-09-06,2011-08-21 00:00:00,2011-08-21 00:00:00,38,28.94736842,18.42105263,54.62,0.0,0,0,0,Friday,BOM
99,PA38W9,0,2010-09-21,2011-03-10 00:00:00,2011-03-10 00:00:00,0,0.0,0.0,37.2,0.0,0,0,0,Thursday,BOM
100,5DDKKP,1,2009-11-13,2009-11-13 00:00:00,2009-11-13 00:00:00,40,22.5,0.0,139.88,0.0,0,0,0,Friday,DEL
101,BUMVQN,0,2010-02-15,2010-02-22 00:00:00,2010-02-22 00:00:00,0,0.0,0.0,57.3,0.0,0,0,0,Monday,DEL
102,ZPR8KQ,1,2009-02-16,2010-09-20 00:00:00,2013-12-02 00:00:00,52,3.846153846,1.923076923,59.35,0.020530368,1,0,0,Monday,DEL
103,EG43ET,1,2011-02-21,2011-02-28 00:00:00,2012-02-20 00:00:00,34,79.41176471,17.64705882,44.25,0.014005602,0,0,0,Monday,DEL
104,QKYBFL,1,2010-08-23,2011-01-26 00:00:00,2011-03-31 00:00:00,18,0.0,0.0,18.42,0.203125,0,0,0,Thursday,DEL
105,2NV3SY,1,2011-01-25,2011-02-01 00:00:00,2011-02-01 00:00:00,40,25.0,0.0,302.43,0.0,0,0,0,Thursday,BOM
106,YUA6VH,1,2011-03-17,2011-05-05 00:00:00,2011-05-27 00:00:00,47,2.127659574,0.0,50.79,0.272727273,0,0,0,Friday,BOM
107,ME8GM2,1,2010-02-12,2011-10-04 00:00:00,2013-11-05 00:00:00,37,5.405405405,5.405405405,57.22,0.00655308,1,0,0,Wednesday,DEL
108,ELJFL7,1,2011-02-08,2011-02-08 00:00:00,2011-07-19 00:00:00,41,21.95121951,14.63414634,72.66,0.01863354,0,0,0,Wednesday,DEL
109,37TL6Y,1,2011-03-10,2011-05-13 00:00:00,2011-05-20 00:00:00,16,0.0,0.0,71.96,0.285714286,0,0,0,Friday,BOM
110,VSDFDY,1,2009-10-29,2009-10-29 00:00:00,2009-11-22 00:00:00,16,0.0,0.0,37.81,0.083333333,0,0,0,Friday,DEL
111,XWM9F2,1,2011-02-06,2012-07-02 00:00:00,2012-07-02 00:00:00,42,23.80952381,0.0,16.14,0.0,0,0,0,Monday,BOM
112,248PRB,1,2010-06-27,2010-08-31 00:00:00,2013-11-06 00:00:00,45,22.22222222,8.888888889,104.22,0.012897678,0,0,0,Wednesday,MAA
113,EDHT4T,1,2011-03-01,2011-03-13 00:00:00,2011-04-11 00:00:00,42,23.80952381,0.0,86.73,0.103448276,0,0,0,Monday,DEL
114,2K94VS,1,2010-08-25,2010-08-25 00:00:00,2010-08-25 00:00:00,44,29.54545455,0.0,30.57,0.0,0,0,0,Friday,DEL
115,PBCL4J,0,2009-07-14,2009-07-14 00:00:00,2009-07-14 00:00:00,0,0.0,0.0,23.65,0.0,0,0,0,Tuesday,DEL
116,E3JPX3,0,2010-09-12,2011-02-10 00:00:00,2011-02-17 00:00:00,0,0.0,0.0,120.14,0.714285714,0,0,0,Thursday,DEL
117,5CLFNM,1,2010-12-09,2010-12-22 00:00:00,2013-12-15 00:00:00,46,6.52173913,0.0,70.32,0.019283747,0,0,0,Monday,DEL
118,S8J2KD,0,2010-09-28,2010-10-19 00:00:00,2010-10-19 00:00:00,0,0.0,0.0,57.76,0.0,0,0,0,Wednesday,DEL
119,SJKEYZ,1,2010-08-27,2011-02-10 00:00:00,2012-07-31 00:00:00,47,17.0212766,6.382978723,55.18,0.020484171,0,0,0,Wednesday,BOM
120,PCM3GS,1,2010-10-06,2010-10-13 00:00:00,2013-12-11 00:00:00,48,4.166666667,0.0,96.37,0.007792208,1,0,0,Monday,DEL
121,4YUT8B,0,2011-02-23,2011-02-24 00:00:00,2011-02-24 00:00:00,0,0.0,0.0,55.68,0.0,0,0,0,Friday,BOM
122,WYPLUJ,1,2009-12-06,2009-12-06 00:00:00,2009-12-06 00:00:00,16,0.0,0.0,20.2,0.0,0,0,0,Monday,DEL
123,6FR5QW,0,2009-08-26,2009-08-26 00:00:00,2009-08-26 00:00:00,0,0.0,0.0,29.0,0.0,0,0,0,Thursday,DEL
124,ETU955,1,2011-03-02,2014-01-10 00:00:00,2014-01-19 00:00:00,11,27.27272727,18.18181818,38.46,0.222222222,1,1,1,Monday,BOM
125,3WEGJ4,1,2008-12-04,2010-01-19 00:00:00,2014-01-15 00:00:00,22,4.545454545,4.545454545,36.48,0.009608785,0,0,0,Monday,DEL
126,HFLKGD,1,2010-02-09,2010-03-12 00:00:00,2010-12-03 00:00:00,18,0.0,0.0,51.3,0.045112782,0,0,0,Friday,DEL
127,CXU7AW,0,2011-03-07,2011-03-08 00:00:00,2011-04-10 00:00:00,0,0.0,0.0,171.7,0.060606061,0,0,0,Tuesday,BOM
128,Y4JALT,1,2011-02-13,2011-08-04 00:00:00,2011-11-14 00:00:00,34,64.70588235,2.941176471,93.96,0.019607843,0,0,0,Friday,BOM
129,6ZHF73,0,2010-09-07,2011-01-25 00:00:00,2013-05-28 00:00:00,0,0.0,0.0,67.95,0.018735363,0,0,0,Wednesday,DEL
130,UTLGDS,1,2010-01-29,2010-10-22 00:00:00,2013-10-10 00:00:00,47,2.127659574,0.0,110.02,0.04704797,0,0,0,Tuesday,DEL
131,F3ANT8,1,2011-02-18,2011-05-12 00:00:00,2012-01-13 00:00:00,47,0.0,0.0,37.35,0.016260163,0,0,0,Thursday,BOM
132,UH5A8N,0,2009-12-10,2009-12-10 00:00:00,2010-02-05 00:00:00,0,0.0,0.0,21.98,0.052631579,0,0,0,Friday,DEL
133,72EG38,0,2010-05-02,2011-07-07 00:00:00,2011-07-27 00:00:00,0,0.0,0.0,147.35,0.45,0,0,0,Friday,DEL
134,DEHQEB,0,2011-01-13,2011-09-28 00:00:00,2012-02-06 00:00:00,0,0.0,0.0,99.47,0.022900763,0,0,0,Wednesday,DEL
135,HU4SHX,0,2009-11-09,2010-08-19 00:00:00,2011-11-17 00:00:00,0,0.0,0.0,75.83,0.041758242,0,0,0,Friday,DEL
136,ZGNKU4,1,2010-08-09,2010-12-06 00:00:00,2011-10-17 00:00:00,32,87.5,6.25,27.77,0.025396825,0,0,0,Monday,BOM
137,9B2NQX,0,2010-09-28,2010-09-29 00:00:00,2010-09-29 00:00:00,0,0.0,0.0,83.85,0.0,0,0,0,Thursday,DEL
138,HSZGYK,1,2010-01-21,2010-03-01 00:00:00,2010-05-03 00:00:00,41,56.09756098,0.0,13.73,0.111111111,0,0,0,Monday,DEL
139,FVHPYJ,0,2009-11-15,2010-03-29 00:00:00,2010-03-29 00:00:00,2,50.0,0.0,31.04,0.0,0,0,0,Monday,DEL
140,SKUYV,1,2011-04-22,2011-04-22 00:00:00,2014-01-19 00:00:00,67,25.37313433,8.955223881,85.66,0.11665005,1,1,0,Monday,BOM
141,FCX4A7,1,2011-01-29,2011-02-13 00:00:00,2014-01-16 00:00:00,39,87.17948718,12.82051282,101.64,0.005617978,0,0,0,Monday,BOM
142,2CQ42Z,1,2010-08-30,2013-06-17 00:00:00,2013-07-07 00:00:00,47,0.0,0.0,44.94,0.2,0,0,0,Wednesday,DEL
143,9HRV46,1,2011-01-18,2013-06-30 00:00:00,2013-06-30 00:00:00,44,4.545454545,0.0,50.94,0.0,0,0,0,Monday,DEL
144,TNDHYE,1,2011-03-22,2011-04-05 00:00:00,2011-05-03 00:00:00,46,4.347826087,4.347826087,56.53,0.142857143,1,0,0,Wednesday,MAA
145,P4SHNX,1,2011-03-27,2013-10-06 00:00:00,2013-10-06 00:00:00,34,23.52941176,8.823529412,41.0,0.0,0,0,0,Thursday,BOM
146,,1,,,,47,0.0,0.0,121.11,0.0,0,0,0,Wednesday,DEL
147,XFM2UU,0,2010-05-05,2010-12-03 00:00:00,2010-12-03 00:00:00,0,0.0,0.0,129.76,0.0,0,0,0,Friday,DEL
148,FYKE6T,1,2010-11-09,2011-01-11 00:00:00,2013-03-04 00:00:00,45,4.444444444,0.0,46.46,0.039591315,0,0,0,Tuesday,BOM
149,9HNPDF,1,2009-11-10,2009-11-17 00:00:00,2009-12-14 00:00:00,16,0.0,0.0,49.8,0.111111111,0,0,0,Friday,DEL
150,3PMDNS,0,2010-04-26,2010-11-23 00:00:00,2010-11-23 00:00:00,0,0.0,0.0,28.37,0.0,0,0,0,Wednesday,DEL
151,QDTHZ3,0,2009-08-27,2009-08-27 00:00:00,2009-08-27 00:00:00,0,0.0,0.0,27.57,0.0,0,0,0,Tuesday,DEL
152,85JTA,1,2011-04-22,2011-06-13 00:00:00,2012-05-20 00:00:00,45,2.222222222,0.0,63.28,0.00877193,0,0,0,Monday,DEL
153,YACQB7,0,2011-05-10,2011-05-15 00:00:00,2013-06-04 00:00:00,1,0.0,0.0,87.01,0.083888149,0,0,0,Monday,DEL
154,UA88SV,1,2010-07-02,2011-07-04 00:00:00,2013-09-01 00:00:00,45,11.11111111,0.0,55.71,0.007594937,0,0,0,Thursday,DEL
155,M43V97,0,2011-01-24,2011-01-24 00:00:00,2011-01-24 00:00:00,0,0.0,0.0,30.63,0.0,0,0,0,Tuesday,DEL
156,BRZQNB,1,2010-07-09,2011-04-12 00:00:00,2013-09-06 00:00:00,38,28.94736842,0.0,28.7,0.089977221,1,0,0,Wednesday,MAA
157,6GK8ZP,0,2010-05-30,2010-05-30 00:00:00,2010-05-30 00:00:00,0,0.0,0.0,26.25,0.0,0,0,0,Monday,DEL
158,AXS66R,1,2010-11-16,2011-04-22 00:00:00,2014-01-19 00:00:00,72,30.55555556,0.0,80.06,0.175473579,0,1,0,Monday,BOM
159,C9S2QZ,1,2008-08-07,2010-03-24 00:00:00,2014-01-14 00:00:00,51,19.60784314,13.7254902,53.37,0.122126437,0,1,0,Wednesday,DEL
160,BTE8SJ,1,2011-01-12,2012-05-21 00:00:00,2012-06-28 00:00:00,43,6.976744186,6.976744186,52.63,0.078947368,1,0,0,Tuesday,DEL
161,6C69AH,0,2010-04-15,2010-04-15 00:00:00,2010-04-15 00:00:00,0,0.0,0.0,142.5,0.0,0,0,0,Friday,DEL
162,MFGEYU,0,2011-03-07,2011-03-07 00:00:00,2011-05-17 00:00:00,0,0.0,0.0,64.77,0.028169014,0,0,0,Thursday,BOM
163,SBJSTR,0,2011-05-11,2011-06-11 00:00:00,2011-06-11 00:00:00,0,0.0,0.0,53.95,0.0,0,0,0,Tuesday,DEL
164,4P69JL,0,2010-02-10,2011-01-09 00:00:00,2012-10-07 00:00:00,0,0.0,0.0,70.83,0.018838305,0,0,0,Monday,DEL
165,Y3Q9RE,0,2010-10-20,2010-11-07 00:00:00,2010-11-07 00:00:00,0,0.0,0.0,49.76,0.0,0,0,0,Friday,DEL
166,SH97N,0,2011-03-22,2011-05-02 00:00:00,2011-06-13 00:00:00,41,21.95121951,0.0,71.57,0.119047619,0,0,0,Monday,BOM
167,F8CALQ,1,2010-10-04,2011-03-02 00:00:00,2011-03-02 00:00:00,40,5.0,0.0,48.29,0.0,0,0,0,Thursday,DEL
168,AZ48MV,1,2011-03-09,2011-04-07 00:00:00,2011-08-05 00:00:00,39,7.692307692,2.564102564,105.92,0.033333333,0,0,0,Friday,DEL
169,VZSLYC,0,2011-01-24,2011-04-07 00:00:00,2013-02-19 00:00:00,0,0.0,0.0,180.43,0.043859649,1,0,0,Friday,DEL
170,9FT8PL,0,2011-02-18,2011-03-27 00:00:00,2013-08-19 00:00:00,0,0.0,0.0,151.63,0.057077626,1,0,0,Friday,DEL
171,6B6RCS,0,2011-05-03,2011-05-03 00:00:00,2011-05-03 00:00:00,0,0.0,0.0,47.16,0.0,0,0,0,Wednesday,DEL
172,AL2LGA,0,2010-10-12,2012-02-01 00:00:00,2012-02-01 00:00:00,0,0.0,0.0,52.62,0.0,0,0,0,Wednesday,BOM
173,7VK6PX,1,2010-09-27,2010-10-11 00:00:00,2010-10-11 00:00:00,41,14.63414634,2.43902439,41.29,0.0,0,0,0,Wednesday,DEL
174,FHKQJY,0,2010-03-17,2010-03-17 00:00:00,2010-03-17 00:00:00,28,21.42857143,0.0,30.09,0.0,0,0,0,Thursday,DEL
